job_title_orig,job_description,rating,company_name,location,size_orig,founded,industry,sector,revenue_orig,job_title,title_simple,seniority,salary,company,revenue,size,python,sql,spark,excel,tableau,hadoop,spss,r,statistics,company_age
Senior Data Scientist (f/m/d),"Erste Group IT International (EG IT INT) is the IT service provider of Erste Group, supplying solutions to all entities. It provides development, implementation and integration as well as operation of group-wide solutions. Aimed at offering the best service at the best price, EG IT INT plays a key strategic role within Erste Group.

We are looking for a Senior Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.

In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for data, modeling and algorithms.

Your goal will be to help our company analyze trends to make better decisions.

Your Tasks

You deliver data science assignments and tasks in data driven projects/ programs in which learning from data and getting added value from data insights has a significant part (Innovation, Big Data, Data Science and AI, Data Analytics projects and similar)
You are ready to deliver independently simple and complex tasks and assignments, not only within his specification
You show genuine curiosity and thinking about innovative problem solutions
You collaborate together with our business units to identify and deliver solutions for critical business challenges
You deliver and support in all phases of the full Data Science process, but with different level of expectations and allocation, depending on the concrete project/prototype like business understanding, analytic approach, data requirements and collection, data understanding, modelling and algorithms, evaluation and interpretation, deployment and solution development support and monitoring and tuning support

Your Background

You have a Bachelor’s or Masters degree with a focus on quantitative disciplines

You have a good understanding of common machine learning algorithms and ability to teach junior data scientists across the organization

Your understanding of banking business is good

You are experienced in Data Analytics and Visualization Tooland have knowledge in machine learning areas (NLP, deep learning, etc.)

You gained advanced knowledge in Big Data Ecosystem components (SQOOP, HIVE, IMPALA, OOZIE, KUDU, etc.), and Cloud technologies (MS Azure, AWS)

You have knowledge of Python, R, SPARK, KNIME, etc. and first hand experience in visualization tools like Tableau, QLIK, R Shiny

You are able to handle the full data science lifecycle incl. deployment and operation of analytical models.

Your language skills: English full professional proficiency

Our Offer
We offer an autonomous and diversified position in an experienced team with international experience.
We support your professional and personal development at all times. Our employees appreciate attractive career opportunities, flexible working hours, numerous social benefits and a professional working atmosphere.

A competitive and performance-related salary dependent on your professional and personal qualifications is granted - the minimum wage for this position in accordance with the respective collective agreement is EUR 49.910,- gross per year

Erste Group considers the diversity of its employees as key to innovation and success. As employer we are proud to offer everyone equal chances, irrespective of age, skin colour, religious belief, gender, sexual orientation or origin

Discover and enjoy the benefits of Erste Group

Interested?

We are looking forward to fill the position at the earliest possible date - apply now! #believeinyourself

Degree of Employment: Full-Time

Primary Location: Austria-Vienna",4.2,"Erste Bank der oesterreichischen Sparkassen AG
4.2",Gerasdorf bei Wien,10000+ Employees,1819,Finance,Banks & Credit Unions,$5 to $10 billion (USD),senior data scientist ,data scientist,senior,49910.0,Erste Bank der oesterreichischen Sparkassen AG,10,7.0,1,0,1,0,1,0,0,1,1,201
Data Scientist - Customer Relationship Management (w/m/d),"Die Erste Bank Oesterreich ist eines der führenden heimischen Geldinstitute. Als Teil der international tätigen Erste Group sind wir eine attraktive Arbeitgeberin, die ihren MitarbeiterInnen interessante Karrierechancen eröffnet.

Die Gruppe Customer Intelligence and Analytics hat den Auftrag, alle verfügbaren Informationen über die KundInnen der Bank so aufzubereiten, dass der Kunde/die Kundin unter Wahrung seiner/ihrer Rechte und im Sinne der Bank optimal und nachhaltig beraten, versorgt und entwickelt werden kann.

Daten sind aktuell die wertvollste Quelle zur Gewinnung eines tieferen Verständnisses der Bedürfnisse des Kunden. Die Umsetzung von Optichannel-Kampagnen mit individuellen Kundenpotenzialen und Events ist hierbei ein Schwerpunkt. Gleichzeitig helfen Erkenntnisse aus Daten im strategischen Entscheidungsprozess und unterstützen uns als Bank in unserem Ziel ein datengetriebenes Unternehmen zu werden.

Wir suchen einen innovativen, kreativen, lösungsorientierten und teamfähigen Data Scientist, der uns bei der datengetriebenen Suche nach Kundenbedürfnissen und Events unterstützt und Lust hat, gemeinsam mit den Verantwortlichen für unsere 1:1 Kommunikationskampagnen Optichannelkampagnen zu implementieren. Darüber hinaus suchen wir Verstärkung in der Interpretation der Ergebnisse, der graphischen Aufbereitung und der Kommunikation der Erkenntnisse im Konzern.
Auch die Mitarbeit in gruppenübergreifenden Projekten ist Teil des Jobs. Unsere Ansprechpartner sind dabei allen voran das Kampagnenmanagement sowie die Produktentwicklung, Vertrieb, Strategie, George und das Risikomanagement.
Ziel der Tätigkeit ist das selbständige analytische Arbeiten, Schnittstelle zu unseren AnsprechpartnerInnen zu sein und die produktive Nutzung der Ergebnisse in der KundInnenkommunikation.

Ihre Tasks

Analytische Unterstützung bei der Identifikation von nachhaltigen Zielgruppen
Laufende Analysen über den Kundenstock und dessen Entwicklung
Ermittlung von kundenbeschreibenden Informationen zur Erstellung von Mikrosegmenten, KundInnenprofilen, Lifetime-Events und Zielgruppen für maßgeschneiderte Kampagnen mittels einfacher Analyse- und ML-Methoden
End-to-end Verantwortung von der Aufbereitung strukturierter und unstrukturierter Daten bis hin zur Kommunikation der Ergebnisse
Optimierung der bestehenden KundInnenprofilierungs- und Prognosemodelle sowie Integration in das Kampagnenmanagement-System
Erstellung von Entscheidungsgrundlagen zur Sicherstellung bzw. Erhöhung der KundInnenprofitabilität und Weiterentwicklung des KundInnenportfolios

Ihr Background

Erfolgreich abgeschlossenes Studium mit quantitativem Fokus (Mathematik, Statistik, Informatik, o.ä.)
Gutes Verständnis zeitgemäßer Methoden zur Datenanalyse und die Fähigkeit eigenständig Modelle zu entwickeln und zu implementieren
Erfahrungen im Customer Relationship Umfeld
Programmiersprachen SAS, R und Python
Ausgezeichnete Kommunikations- und Kooperationsfähigkeiten
Sehr gute konzeptionelle und analytische Fähigkeiten
Lösungsorientiert, innovativ, kreativ, teamfähig
Bereitschaft zur persönlichen Weiterentwicklung
Sehr gutes Deutsch und Englisch

Unser Angebot

Die Erste Bank sieht in der Diversität ihrer MitarbeiterInnen einen Schlüssel für Innovation und Exzellenz. Als Arbeitgeberin sind wir stolz darauf, allen die gleichen Chancen zu bieten, unabhängig von Alter, Hautfarbe, Religion, Geschlecht, sexueller Orientierung oder Herkunft.
Entdecken Sie die zusätzlichen Benefits der Erste Bank.
Einstufung und Gehalt werden wir auf Grundlage Ihrer fachlichen und persönlichen Kompetenz marktkonform und leistungsgerecht vereinbaren - das Mindestgehalt für diese Position beträgt bei vollständiger Erfüllung des Anforderungsprofils laut KV-Einstufung EUR 38.813,00 brutto pro Jahr.
Wir freuen uns auf Ihren ehest möglichen Start bei uns.

Interessiert?
Wir freuen uns auf Sie!

Beschäftigungsausmaß: Vollzeit

Primärer Standort: Österreich-Wien-Wien",4.2,"Erste Bank der oesterreichischen Sparkassen AG
4.2",Wien,10000+ Employees,1819,Finance,Banks & Credit Unions,$5 to $10 billion (USD),data scientist - customer relationship management ,data scientist,na,38813.0,Erste Bank der oesterreichischen Sparkassen AG,10,7.0,1,0,0,0,0,0,0,1,1,201
Data Engineer (f/m/d),"International business requires an international corporate philosophy. Are you open to new ideas and do you value cultural diversity? At Raiffeisen Bank International, we are pleased to have more than 16 million customers in 13 CEE countries. And our journey continues – with exciting new issues for us to tackle such as digitalisation and changing customer needs. Join us on our journey.
Data Engineer (f/m/d)
We are looking for several talented persons to help us develop the highest value from the big data in our Enterprise Data Warehouse (EDWH). The right candidate is comfortable with technical and organisational challenges, can speak and act in the interests of our service and really wants to work for an Adaptive Organisation.

What you can expect:
Develop new ELT functionality and integrate it into our DWH platform
Enhance our tools, processes and documentation
Build your engineering craftmanship with design of technical solutions
Interpret structured data, and link it to unstructured data if need be
Find the knowledge needle in the data haystack

What you bring to the table:
Ideas & confidence!
SQL & NoSQL
Agile software design methods and practise
Quantitative or Mathematical Finance, or similar preferred
Read, comprehend and articulate information
English fluent, any CEE language a plus
Practical experience helpful, but not necessary

What we offer:
A growing and dynamic team in one of the leading banking groups in Austria and Central and Eastern Europe
EUR 46.500,- annual gross salary excluding overtime – additional payment according to skills and experience
Work-Life balance due to variable working hours
State of the art learning and development opportunities

RBI AG is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ethnicity, race or color, national origin, religion, political or other opinion, gender, sexual orientation or disability.
We are looking forward to receiving your online application!",4.1,"Raiffeisen Bank International
4.1",Österreich,10000+ Employees,1991,Finance,Investment Banking & Asset Management,$10 to $25 million (USD),data engineer ,data engineer,na,46500.0,Raiffeisen Bank International,3,7.0,0,1,0,0,0,0,0,0,1,29
Data Scientist,"At Jabil, we empower the brands who empower the world – it’s our reason for being and the guiding force that’s driving us to become the most technologically advanced manufacturing solutions provider on the planet. Whether we’re serving one of the world’s biggest and best known brands or the coolest tech startups, our resolve never wavers. We share common desires with these brands: to make the world a better, safer and cleaner place.

JOB QUALIFICATIONS
KNOWLEDGE REQUIREMENTS

● Advanced Statistics, operations research/ management, mathematics or business analytics with experience, courses, or project work in an analytic methods such as linear, mixed linear, constraint programming, modeling, simulation, time series analysis, pattern recognition, queuing theory, multivariate analysis, and other various predictive analytics techniques

● Strong written and verbal communication skills and the ability to work effectively in teams and under pressure. Multi-lingual capability is a plus.

● Ability to draw conclusions from data and prescribe actionable and measurable activities.

● Highly motivated and creative, thinking “out of the box”.

● Familiarity with non-relational data frameworks (aka NoSQL, eg. Hive).

● Experience with Apache Pig, Spark systems.

● Strong team mentality, interpersonal and communications skills

● Preferred working directly with management and executives

Preferred experience:
Jupyter Notebook experience (e.g. Anaconda, DataBricks)
Coding in multiple languages: Python a must, but also familiarity with UI frameworks like for presentation layer: Angular/React.JS, Vue.js with Node.js
Alternatively, Plotly/Dash, ShinyApp or Bokeh - presentation frameworks for creating dashboards
Experience with No SQL database especially for document records: Elastic Search, MongoDB, Cosmos DB. Able to update records through programming and ability to query data in custom applications.
Statistics/Analytic capabilities (Anova, t-test, f-test, logging, Big-O notation, etc.)
Data modeling and model analysis; Data Science development; sci-kit learn and open CV, popular python libraries
Cloud computing (AWS, Azure or Google) - know how to use SDKs for data storage access and management through programming code and experience with cli tools. Able to create resources like blob storage, databases and virtual machines.
Software data structure understanding (stacks, hash tables, arrays, queues, trees, linked list) and code optimization knowledge.
CI/CD project development - Agile scrum style software development
Git versioning; know how to merge and commit changes to a branch. Not steps on others code.
Nice to have
Back-end languages like Java or C#
Shell scripting like bash, powershell, ansible or Chef
CI/CD Data Modeling automation, e.g. AWS SageMaker, AirFlow, Kubeflow, Azure ML or Google
Docker, Kubernetes; Use of yaml and dockerfiles files to build Docker containers (Helm Charts and kubectl)
Work location: Job can be performed remotely from Ukraine OR Hungary OR Poland

Jabil, including its subsidiaries, is an equal opportunity employer and considers qualified applicants for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identify, age, disability, genetic information, veteran status, or any other characteristic protected by law.",3.8,"Jabil
3.8",Heimarbeit,10000+ Employees,1966,Manufacturing,Electrical & Electronic Manufacturing,$10+ billion (USD),data scientist,data scientist,na,,Jabil,10,7.0,1,1,1,0,0,0,0,0,1,54
Data Scientist,"FinanceFull-time
Data Scientist
ElsbethenAustria
Apply Now
Share
Do you want to apply rigorous but pragmatic analytical frameworks to assist in the development of business actions with impact? Join our Global Analytics Lab as Data Scientist!


In this exciting position, you'll become part of a broader specialist data department whose goal is to create business value through actionable application of data. Supporting data science projects at Red Bull, you'll be expected to implement statistical and machine learning models, as well as assist in the quality assurance process.

RESPONSIBILITIES
Areas that play to your strengths


All the responsibilities we'll trust you with:

Expand all
CONTENT RESPONSIBILITY

- Support and take part-ownership of analytics projects, focusing specifically on model application and testing

- Work directly with other Data Scientists in an executive capacity for their advanced analytics needs, while maintaining a pragmatic approach in everything you do

- Carry out thorough, exploratory analysis to evaluate a data set’s “fitness-for-purpose” as well as develop best practice modelling solutions ensuring the highest validation standards

- Foster conscientious handling of data and an excellent ability to absorb new skills and techniques quickly

- Act as a trainer of our internal analytics trainings and help advancing the business’ understanding of key analytical and visualization concepts
OPERATIONAL RESPONSIBILITY

- Be part of the Global Analytics Lab which is responsible for developing and managing analytics and data science for various departments

- Support the Data Science team to implement projects in an efficient manner

- Be responsible for quality assurance of projects from a methodological and pragmatic point of view
EXPERIENCE
Your areas of knowledge and expertise


that matter most for this role:
Relevant experience in quantitative analytics and statistics
Working experience in application of statistical modelling (e.g. R) with openness to learn others (e.g. Python)
Experience with statistical techniques, including testing, regression, and classification
Applied knowledge of machine learning and deep learning algorithms
Ability to give understandable presentations on complex topics
Very good communication and interpersonal skills
Strong willingness to learn
Master’s degree in data science, mathematics, statistics, theoretical physics or related field
Fluent in German and English
Travel up to: 10%
Click here to learn more
WHERE YOU'LL BE BASED
ElsbethenSalzburg, Austria
AustriaRed Bull Global Headquarters
JOIN THE TEAM
Got what it takes?


In your application we want to see your personal style - what makes you tick and why you think your next opportunity is here with us.
Apply Now
Share

As an employer, we value diversity and support people in developing their potential and strengths, realizing their ideas and seizing opportunities. The job advertisement is aimed at all people equally, regardless of age, skin colour, religion, gender, sexual orientation or origin. Due to legal reasons we are obliged to disclose the minimum salary according to the collective agreement for this position, which is € 1821 gross per month. However, our attractive compensation package is based on market-oriented salaries and is therefore significantly above the stated minimum salary.
Data Scientist
Apply Now
Share
RELATED OPPORTUNITIES
Looking for something else?
Finance
Sales
Operations
Marketing
IT
Media
Finance
Legal
Administration
Car Engineering
Human Resources
Fashion and FanWear
Student Jobs

Austria
Type any country, city, state...

FinanceFull-time
Finance Manager
Vienna, Vienna, Austria
en
FinanceFull-time
Marketing Controller
Fuschl am See, Salzburg, Austria
en
FinanceFull-time
Business Data Analyst & Project Manager
Fuschl am See, Salzburg, Austria
en
5 jobs found
Red Bull
Giving wings to people and ideas since 1987


In the 1980’s Dietrich Mateschitz developed a formula known as the Red Bull Energy Drink. This was not only the launch of a completely new product, in fact it was the birth of a totally new product category.

The company beyond the can
Products
Company
Athletes
Media House
Culture
What drives usChasing our potential

Since the early days of Red Bull, an entrepreneurial mindset has always guided our approach to work and the environment we create:
Meaning
Find your meaning and use your strengths to achieve it!


The bigger reason why you work. To contribute and add value to something or someone.
Freedom & Responsibility
Take real responsibility for yourself and your work.


To have the freedom to work on something the way you want to.
Mastery
Love life, love work, love to challenge yourself!


Turn your talents into strengths to become excellent at what you do.
From the World of Red Bull
MusicSkateboardingEnduroMountain BikeMountain BikeMountain BikeMotoringGamingSkateboardingAthleticsClimbingBreaking
Keeping it real: How rapper Paul Wall stays true to himself
Read Story
Taylor Kirby’s run gets the win for Lotties Skateshop at Red Bull Solus
Read Story
Watch Kenda AMA Tennessee Knockout on FOX
Read Story
Loss Leader: Anthony Lopez
Read Story
Crankworx World Tour 2020
View Event Info
Mercedes Benz UCI Mountain Bike World Cup 2020
View Event Info
Watch Drift Masters European Championship on FS1
Read Story
G2 Esports star Caps has a message for his Worlds 2020 opponents
Read Story
Red Bull Bowl Rippers 2020: stripped back but with all the action
Read Story
She’s already top of the world, but Nafi Thiam wants to be even better
Read Story
The Last Ascent
Watch Film
Noodle
View Profile
Red Bull Jobs
Got Questions? We got you covered.
Jobs FAQ
(fr)Belgium (nl)BoliviaBosnia & HerzegovinaBrazilCanada (en)Canada (fr)ChileChinaColombiaCroatiaCzech East & AfricaNetherlandsNew AfricaSpainSwedenSwitzerland (de)Switzerland (fr)TaiwanThailandTurkeyUSAUkraineUnited Arab EmiratesUnited Kingdom
Share",4.1,"Red Bull
4.1",Elsbethen,10000+ Employees,1987,Manufacturing,Food & Beverage Manufacturing,Unknown / Non-Applicable,data scientist,data scientist,na,25494.0,Red Bull,-1,7.0,1,0,0,1,0,0,0,0,1,33
Data Scientist,"Data Scientist

Jobs

für den Standort Hagenberg (ca. 20 km von Linz) / Vollzeit

Das erwartet dich - Du:
entwickelst Strategien zur Analyse der bestehenden Daten.
konsolidierst Daten und generierst Insights aus strukturierten und nicht strukturierten Quellen.
arbeitest eng mit dem Produktmanagement zusammen um Anforderungen für Analysen zu verstehen und umzusetzen.
erarbeitest gemeinsam mit der Entwicklung Strategien um fehlende oder zusätzliche Daten zu erheben.
programmierst selbständig Auswertungen.
verantwortest den Prozess der Datananalyse, -aufbereitung und Interpretation.
fungierst als Schnittstelle zu anderen Fachbereichen wie IT, Marketing, Vertrieb etc.
Das bringst du mit - Du:
verfügst über ein abgeschlossenes Studium in Data Science, Informatik bzw. Software Engineering mit Schwerpunkt in Data Science o.ä.
bringst mind. 7 Jahre Erfahrung sowie ausgezeichnetes mathematisches und statistisches Know-How mit.
hast Erfahrung in der Verarbeitung, Modellierung und Visualisierung von Daten.
besitzt ein strukturiertes und sorgfältiges Vorgehen sowie eine genaue und ergebnisorientierte Arbeitsweise.
arbeitest gerne im Team und nach agilen Prinzipien (SCRUM).
verfügst über sehr gute Deutsch- sowie gute Englischkenntnisse.
Das bekommst du von uns:
Großartige Projekte: Du bist Teil einer internationalen Erfolgs-Story mit österreichischen Wurzeln.
Flexibles Arbeitsmodell: Gleitzeit ohne Kernzeit und Homeoffice - deine Arbeit kannst du dir flexibel einteilen.
Freitag frei: Alle 14 Tage verlängern wir dein Wochenende mit einer 4-Tage-Woche.
Weiterbildung ist uns wichtig: Deshalb werden Besuche von Konferenzen und Ausbildungen gefördert.
Faire Entlohnung: Einstiegsgehalt bei entsprechender Qualifikation 4.000€ brutto (IT Kollektivvertrag, Spezielle Tätigkeit 1, Erfahrungsstufe) bei Vollzeitanstellung (38,5h / Woche). Eine Überzahlung ist bei entsprechender Qualifikation selbstverständlich. Wer gerne mehr arbeitet, kann zusätzlich eine Überstundenpauschale vereinbaren.

Deine Bewerbungsunterlagen schickst du bitte per Mail an karriere@bluesource.at.

“Wir freuen uns, dich zu einem Vorstellungsgespräch bei uns einladen zu dürfen.""",-1.0,Blue source,Hagenberg,1 to 50 Employees,-1,Business Services,Consulting,$1 to $5 million (USD),data scientist,data scientist,na,56000.0,Blue source,2,1.0,0,0,0,0,0,0,0,0,0,-1
Data Scientist (m/w/d),"Möchten Sie die digitale Welt von morgen intelligenter machen? Können Sie über die Grenzen von Nullen und Einsen hinausschauen? Dann kommen Sie jetzt zu FERCHAU, dem Marktführer in Engineering und IT mit 8.260 Mitarbeitern an über 100 Niederlassungen und Standorten in Österreich und Deutschland. Hier erwarten Sie anspruchsvolle Aufgaben aus allen Bereichen der IT. 2.500 IT-Consultants arbeiten hier an spannenden Projekten für namhafte Kunden.

Abwechslungsreich und komplex - Ihr Verantwortungsbereich ist vielfältig.
Konzipierung und eigenständige Durchführung von IoT-Datenanalysen in einem Scrum-Team für ein internationales Projekt
Aufbau und Integration eines Frameworks zur Erkennung von Anomalien basierend auf maschinennahen Zeitreihendaten
Kontinuierliches Modifizieren der errechneten Modelle unter Berücksichtigung von domänenspezifischem Wissen
Kommunikation und Abstimmung mit internationalen Teams
Individuell und erfolgsorientiert - Ihre Perspektiven sind ausgezeichnet.
Ein zukunftsorientierter Arbeitsplatz mit Perspektive
Unbefristeter Dienstvertrag
Ein umfangreiches Aus- und Weiterbildungsangebot
Sie sind bestens qualifiziert - Ihr Profil ist der beste Beweis.
Abgeschlossene technische Ausbildung mit Spezialisierung im Bereich Data Science
Einschlägige Erfahrung in der Datenverarbeitung und -modellierung sowie mit Datenkompressions- und Datenvorverarbeitungstechniken
Sehr gute Kenntnisse der Programmiersprachen Python und Perl
Versierter Umgang mit supervised und unsupervised Methodiken sowie folgenden Machine-Learning-Bibliotheken: numpy und TensorFlow
Erfahrung mit Angular und Typescript wünschenswert
Verhandlungssicheres Englisch in Wort und Schrift
Für diese Position beträgt das Jahresbruttogehalt mindestens EUR 44.800. Wir bieten eine marktkonforme Überzahlung abhängig von Ausbildung, beruflicher Qualifikation und Erfahrung.

Das ist die abwechslungsreiche Herausforderung, die Sie suchen? Dann freuen wir uns auf Ihre Bewerbung - gerne online oder per E-Mail unter der Kennziffer ID41-12643-LZ bei Frau Julia Augustin. Denn was für unsere Kunden gilt, gilt für Sie schon lange: Wir entwickeln Sie weiter.",3.3,"FERCHAU
3.3",Linz,5001 to 10000 Employees,1966,Business Services,Staffing & Outsourcing,$500 million to $1 billion (USD),data scientist ,data scientist,na,44800.0,FERCHAU,7,6.0,1,0,0,0,0,0,0,0,0,54
Data Scientist (m/w),"Position
Full-time employee
City
Vienna
Start
As of now
Contract
Permanent
UNTERNEHMEN

Als international agierendes Unternehmen konnten wir unsere Softwarelösung für Dokumentation und Kommunikation in der Bau- und Immobilienbranche innerhalb weniger Jahre bei Unternehmen aus über 40 Ländern etablieren.

AUFGABENbereich
Pionierarbeit und Aufbau eines Data Science Bereiches
Eigenständige Entwicklung und Umsetzung von Ideen
Implementieren von statistischen und mathematischen Methoden/Algorithmen mit z.B.: Python, R
Vorbereiten von statistischen Analysen und Visualisierungen
Dokumentieren der Modelle und Ergebnisse
Definition von Campaign-Targeting-Kriterien sowie Erfolgsmessung
Analyse von umfangreichen Datensätzen und Verarbeitung bzw. Visualisierung der gewonnenen Erkenntnisse (Data Storytelling)
profil
BSc/MSc/PhD in relevanter Studienrichtung, z.B.: Computer Vision, Machine Learning, Data Science, Software Engineering, Physics or Mathematics
Sehr gute Kenntnisse in Python und/oder R sowie SQL
Erfahrung bei der Anwendung von Methoden des Machine Learning
Erfahrung mit Big-Data Infrastrukturen und Analyseinstrumenten (Hadoop, Spark, Hive) von Vorteil
Kenntnisse über ETL-Prozesse und DWH-Implementierungen oder Data Lake Implementierungen
Methodisches, genaues und effizientes Arbeiten
Fundierte analytische Fähigkeiten, aber gleichzeitig praktische, problemlösende Einstellung erforderlich
Fähigkeit, mit einem nicht-technischen Publikum zu kommunizieren
Teamplayer, hoher Einsatz, unabhängiger Arbeitsstil
Ausgezeichnete Deutsch- und Englischkenntnisse
WAS WIR BIETEN
Platz für persönliche und professionelle Weiterentwicklung
Vielseitiges Tätigkeitsfeld
Mitgestaltung bei einem Wachstumsunternehmen mit internationalen Kunden und Investoren
Motiviertes und agiles Team mit einer gemeinsamen Vision
Attraktives Gehalt
Zusätzliche Benefits wie Teamevents, Free Drinks & Snacks
BENEFITS

RAUM ZUR
MITGESTALTUNG

FIRMENEVENTS

OBSTKORB

VIELZAHL
AN SNACKS

VIELZAHL AN
GETRÄNKEN

TRAININGS-
ANGEBOTE

FLEXIBLE
ARBEITSZEITEN

MITARBEITER-
EMPFEHLUNGS-
PROGRAMM

FIRMENLAPTOP

GESUNDHEITS-
FÖRDERUNG

RAUM ZUR
MITGESTALTUNG

FIRMENEVENTS

OBSTKORB

VIELZAHL
AN SNACKS

VIELZAHL AN
GETRÄNKEN

TRAININGS-
ANGEBOTE

FLEXIBLE
ARBEITSZEITEN

MITARBEITER-
EMPFEHLUNGS-
PROGRAMM

FIRMENLAPTOP

GESUNDHEITS-
FÖRDERUNG

der bewerbung beizulegen

Bitte lassen Sie uns Ihre aussagekräftigen Bewerbungsunterlagen (inkl. Lebenslauf mit Foto) zukommen, indem Sie auf den ""Apply Now"" Button klicken.

Aus gesetzlichen Gründen weisen wir darauf hin, dass das kollektivvertragliche Bruttojahresgehalt für diese Position auf Basis einer Vollzeitbeschäftigung mindestens € 36.400, -beträgt. Je nach konkreter Qualifikation und Erfahrung ist die Bereitschaft zur deutlichen Überzahlung gegeben.",5.0,"PlanRadar GmbH
5.0",Wien,51 to 200 Employees,2013,Information Technology,Enterprise Software & Network Solutions,Unknown / Non-Applicable,data scientist ,data scientist,na,36400.0,PlanRadar GmbH,-1,2.0,1,1,1,0,0,1,0,1,0,7
Data Engineer - Data Lake (f/m/x),"International business requires an international corporate philosophy. Are you open to new ideas and do you value cultural diversity? At Raiffeisen Bank International, we are pleased to have more than 16 million customers in 13 CEE countries. And our journey continues – with exciting new issues for us to tackle such as digitalisation and changing customer needs. Join us on our journey.
Data Engineer - Data Lake (f/m/x)
As Big Data Engineer you will act hand in hand with data scientists, big data architects and data consumers across CEE to plan and execute data integration. You will be in charge for data definition and the mapping from raw data to final data products running on the data lake eco-system. Additionally, in the revolution of classic ETL you will be part of rapid prototyping, visualisation and BI projects for big data consumers.

What you can expect:
Assemble large, complex data sets to meet functional / non-functional business requirements
Build data integration and transformation from various sources and technologies within the data lake infrastructure as part of an agile delivery team
Manage incidents reported by data providers or data consumers and ensure a continuous data flow
Drive the advancement of RBI data infrastructure by designing and implementing the underlying logic and structure for how data is setup, cleansed, and ultimately stored for organisational usage
Gaining insights into large data sets and how to steer business with
What you bring to the table:
About 3 years of experience in data engineering for analytical purposes from various data sources in the area of big data / data warehousing
Professional experience in designing and developing data pipelines in Python/Spark/Scala
Practical cloud experience in AWS preferred
Demonstrated ability to build processes that support data transformation, data structures, metadata, dependency and workload management
Fluent English; German or another CEE language is appreciated, but not mandatory
Proactivity; Curiosity; Responsibility; Ideas & Confidence
What we offer:
You’ll work in an international team at a leading bank
You’ll benefit from flexible working arrangements and determine your own work-life balance
You’ll benefit from the very latest in tailored professional development
You’ll earn an appropriate salary starting at EUR 60.000,00 gross p.a. including overtime

RBI AG is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ethnicity, race or color, national origin, religion, political or other opinion, gender, sexual orientation or disability.
We are looking forward to receiving your online application!",4.1,"Raiffeisen Bank International
4.1",Österreich,10000+ Employees,1991,Finance,Investment Banking & Asset Management,$10 to $25 million (USD),data engineer - data lake ,data engineer,na,60000.0,Raiffeisen Bank International,3,7.0,1,0,1,0,0,0,0,0,0,29
Data Analyst/Data Scientist (m/w),"Der jö Bonus Club als größter Kundenclub Österreichs wurde 2018 als eigenständiges Unternehmen der REWE Group Österreich etabliert. Mit nur einer Kundenkarte, der jö Karte bzw. der jö App, können die über zwei Millionen jö Mitglieder in ganz Österreich seit Mai 2019 beim Einkauf Ös sammeln und diese für zahlreiche Vorteile bei allen teilnehmenden jö Partnern einlösen.

QUALIFIKATIONEN, DIE WIR BELOHNEN
Abgeschlossene technische oder wirtschaftliche Ausbildung (HTL, TU, WU, FH: Informatik, Data Science/Management, Wirtschaftsinformatik) oder vergleichbare Berufserfahrung
Einschlägige Berufserfahrung in den Bereichen Datenanalyse und BI
Kenntnisse von Visualisierungstools und -methoden (Tableau, Power BI)
Idealerweise Erfahrung in Auswertung und Analyse großer Datensätzen
Sehr gute Kenntnisse in SQL, Erfahrung mit Oracle und R von Vorteil
Hohe Teamorientierung gepaart mit einer selbständigen Arbeitsweise
HERAUSFORDERUNGEN, DIE SIE MEISTERN
Auswertungen von kontinuierlich anfallenden Daten des Multipartner-Kundenbindungsprogramms
Datenauswertung aus verschiedenen Branchen
Analysen von großen Datenmengen aus verschiedenen Quellen
Selbständige Erstellung von Berichten für die Partner des Programms
Mitarbeit bei der Erstellung und Optimierung der Datenvisualisierung (Dashboards) mit Tableau
Mitentwicklung von Konzepten zur Monetisierung unserer Analytics Dienstleistungen
Gemeinsam für ein besseres Leben:
ANGEBOTE, DIE SIE BEGEISTERN
Abwechslungsreiche Aufgabenstellungen kombiniert mit Planbarkeit des Privatlebens
Dynamische Startup-Atmosphäre mit allen Vorteilen eines führenden Handelsunternehmens
Modernes Office mit Raum für innovative Ideen und abwechslungsreiche Meeting- und Arbeitsplatzgestaltung
Gute öffentliche Erreichbarkeit

Da wir auf Diversität setzen, freuen wir uns auch über Bewerbungen von Menschen mit Behinderung.

Rückfragen gerne an
Recruiting Center REWE Group / Zentrale +43 2236 600 6283 jobs@rewe-group.at",3.7,"REWE International AG
3.7",Wien,10000+ Employees,1927,Retail,Grocery Stores & Supermarkets,$10+ billion (USD),data analyst/data scientist ,data scientist,na,,REWE International AG,10,7.0,0,1,0,0,1,0,0,1,0,93
