Job Title,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Industry,Sector,Revenue,Competitors
Senior Data Scientist (f/m/d),"Erste Group IT International (EG IT INT) is the IT service provider of Erste Group, supplying solutions to all entities. It provides development, implementation and integration as well as operation of group-wide solutions. Aimed at offering the best service at the best price, EG IT INT plays a key strategic role within Erste Group.

We are looking for a Senior Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.

In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for data, modeling and algorithms.

Your goal will be to help our company analyze trends to make better decisions.

Your Tasks

You deliver data science assignments and tasks in data driven projects/ programs in which learning from data and getting added value from data insights has a significant part (Innovation, Big Data, Data Science and AI, Data Analytics projects and similar)
You are ready to deliver independently simple and complex tasks and assignments, not only within his specification
You show genuine curiosity and thinking about innovative problem solutions
You collaborate together with our business units to identify and deliver solutions for critical business challenges
You deliver and support in all phases of the full Data Science process, but with different level of expectations and allocation, depending on the concrete project/prototype like business understanding, analytic approach, data requirements and collection, data understanding, modelling and algorithms, evaluation and interpretation, deployment and solution development support and monitoring and tuning support

Your Background

You have a Bachelor’s or Masters degree with a focus on quantitative disciplines

You have a good understanding of common machine learning algorithms and ability to teach junior data scientists across the organization

Your understanding of banking business is good

You are experienced in Data Analytics and Visualization Tooland have knowledge in machine learning areas (NLP, deep learning, etc.)

You gained advanced knowledge in Big Data Ecosystem components (SQOOP, HIVE, IMPALA, OOZIE, KUDU, etc.), and Cloud technologies (MS Azure, AWS)

You have knowledge of Python, R, SPARK, KNIME, etc. and first hand experience in visualization tools like Tableau, QLIK, R Shiny

You are able to handle the full data science lifecycle incl. deployment and operation of analytical models.

Your language skills: English full professional proficiency

Our Offer
We offer an autonomous and diversified position in an experienced team with international experience.
We support your professional and personal development at all times. Our employees appreciate attractive career opportunities, flexible working hours, numerous social benefits and a professional working atmosphere.

A competitive and performance-related salary dependent on your professional and personal qualifications is granted - the minimum wage for this position in accordance with the respective collective agreement is EUR 49.910,- gross per year

Erste Group considers the diversity of its employees as key to innovation and success. As employer we are proud to offer everyone equal chances, irrespective of age, skin colour, religious belief, gender, sexual orientation or origin

Discover and enjoy the benefits of Erste Group

Interested?

We are looking forward to fill the position at the earliest possible date - apply now! #believeinyourself

Degree of Employment: Full-Time

Primary Location: Austria-Vienna",4.2,"Erste Bank der oesterreichischen Sparkassen AG
4.2",Gerasdorf bei Wien,-1,10000+ Employees,1819,Finance,Banks & Credit Unions,$5 to $10 billion (USD),-1
Data Scientist - Customer Relationship Management (w/m/d),"Die Erste Bank Oesterreich ist eines der führenden heimischen Geldinstitute. Als Teil der international tätigen Erste Group sind wir eine attraktive Arbeitgeberin, die ihren MitarbeiterInnen interessante Karrierechancen eröffnet.

Die Gruppe Customer Intelligence and Analytics hat den Auftrag, alle verfügbaren Informationen über die KundInnen der Bank so aufzubereiten, dass der Kunde/die Kundin unter Wahrung seiner/ihrer Rechte und im Sinne der Bank optimal und nachhaltig beraten, versorgt und entwickelt werden kann.

Daten sind aktuell die wertvollste Quelle zur Gewinnung eines tieferen Verständnisses der Bedürfnisse des Kunden. Die Umsetzung von Optichannel-Kampagnen mit individuellen Kundenpotenzialen und Events ist hierbei ein Schwerpunkt. Gleichzeitig helfen Erkenntnisse aus Daten im strategischen Entscheidungsprozess und unterstützen uns als Bank in unserem Ziel ein datengetriebenes Unternehmen zu werden.

Wir suchen einen innovativen, kreativen, lösungsorientierten und teamfähigen Data Scientist, der uns bei der datengetriebenen Suche nach Kundenbedürfnissen und Events unterstützt und Lust hat, gemeinsam mit den Verantwortlichen für unsere 1:1 Kommunikationskampagnen Optichannelkampagnen zu implementieren. Darüber hinaus suchen wir Verstärkung in der Interpretation der Ergebnisse, der graphischen Aufbereitung und der Kommunikation der Erkenntnisse im Konzern.
Auch die Mitarbeit in gruppenübergreifenden Projekten ist Teil des Jobs. Unsere Ansprechpartner sind dabei allen voran das Kampagnenmanagement sowie die Produktentwicklung, Vertrieb, Strategie, George und das Risikomanagement.
Ziel der Tätigkeit ist das selbständige analytische Arbeiten, Schnittstelle zu unseren AnsprechpartnerInnen zu sein und die produktive Nutzung der Ergebnisse in der KundInnenkommunikation.

Ihre Tasks

Analytische Unterstützung bei der Identifikation von nachhaltigen Zielgruppen
Laufende Analysen über den Kundenstock und dessen Entwicklung
Ermittlung von kundenbeschreibenden Informationen zur Erstellung von Mikrosegmenten, KundInnenprofilen, Lifetime-Events und Zielgruppen für maßgeschneiderte Kampagnen mittels einfacher Analyse- und ML-Methoden
End-to-end Verantwortung von der Aufbereitung strukturierter und unstrukturierter Daten bis hin zur Kommunikation der Ergebnisse
Optimierung der bestehenden KundInnenprofilierungs- und Prognosemodelle sowie Integration in das Kampagnenmanagement-System
Erstellung von Entscheidungsgrundlagen zur Sicherstellung bzw. Erhöhung der KundInnenprofitabilität und Weiterentwicklung des KundInnenportfolios

Ihr Background

Erfolgreich abgeschlossenes Studium mit quantitativem Fokus (Mathematik, Statistik, Informatik, o.ä.)
Gutes Verständnis zeitgemäßer Methoden zur Datenanalyse und die Fähigkeit eigenständig Modelle zu entwickeln und zu implementieren
Erfahrungen im Customer Relationship Umfeld
Programmiersprachen SAS, R und Python
Ausgezeichnete Kommunikations- und Kooperationsfähigkeiten
Sehr gute konzeptionelle und analytische Fähigkeiten
Lösungsorientiert, innovativ, kreativ, teamfähig
Bereitschaft zur persönlichen Weiterentwicklung
Sehr gutes Deutsch und Englisch

Unser Angebot

Die Erste Bank sieht in der Diversität ihrer MitarbeiterInnen einen Schlüssel für Innovation und Exzellenz. Als Arbeitgeberin sind wir stolz darauf, allen die gleichen Chancen zu bieten, unabhängig von Alter, Hautfarbe, Religion, Geschlecht, sexueller Orientierung oder Herkunft.
Entdecken Sie die zusätzlichen Benefits der Erste Bank.
Einstufung und Gehalt werden wir auf Grundlage Ihrer fachlichen und persönlichen Kompetenz marktkonform und leistungsgerecht vereinbaren - das Mindestgehalt für diese Position beträgt bei vollständiger Erfüllung des Anforderungsprofils laut KV-Einstufung EUR 38.813,00 brutto pro Jahr.
Wir freuen uns auf Ihren ehest möglichen Start bei uns.

Interessiert?
Wir freuen uns auf Sie!

Beschäftigungsausmaß: Vollzeit

Primärer Standort: Österreich-Wien-Wien",4.2,"Erste Bank der oesterreichischen Sparkassen AG
4.2",Wien,-1,10000+ Employees,1819,Finance,Banks & Credit Unions,$5 to $10 billion (USD),-1
Data Engineer - Data Lake (f/m/x),"International business requires an international corporate philosophy. Are you open to new ideas and do you value cultural diversity? At Raiffeisen Bank International, we are pleased to have more than 16 million customers in 13 CEE countries. And our journey continues – with exciting new issues for us to tackle such as digitalisation and changing customer needs. Join us on our journey.
Data Engineer - Data Lake (f/m/x)
As Big Data Engineer you will act hand in hand with data scientists, big data architects and data consumers across CEE to plan and execute data integration. You will be in charge for data definition and the mapping from raw data to final data products running on the data lake eco-system. Additionally, in the revolution of classic ETL you will be part of rapid prototyping, visualisation and BI projects for big data consumers.

What you can expect:
Assemble large, complex data sets to meet functional / non-functional business requirements
Build data integration and transformation from various sources and technologies within the data lake infrastructure as part of an agile delivery team
Manage incidents reported by data providers or data consumers and ensure a continuous data flow
Drive the advancement of RBI data infrastructure by designing and implementing the underlying logic and structure for how data is setup, cleansed, and ultimately stored for organisational usage
Gaining insights into large data sets and how to steer business with
What you bring to the table:
About 3 years of experience in data engineering for analytical purposes from various data sources in the area of big data / data warehousing
Professional experience in designing and developing data pipelines in Python/Spark/Scala
Practical cloud experience in AWS preferred
Demonstrated ability to build processes that support data transformation, data structures, metadata, dependency and workload management
Fluent English; German or another CEE language is appreciated, but not mandatory
Proactivity; Curiosity; Responsibility; Ideas & Confidence
What we offer:
You’ll work in an international team at a leading bank
You’ll benefit from flexible working arrangements and determine your own work-life balance
You’ll benefit from the very latest in tailored professional development
You’ll earn an appropriate salary starting at EUR 60.000,00 gross p.a. including overtime

RBI AG is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ethnicity, race or color, national origin, religion, political or other opinion, gender, sexual orientation or disability.
We are looking forward to receiving your online application!",4.1,"Raiffeisen Bank International
4.1",Österreich,-1,10000+ Employees,1991,Finance,Investment Banking & Asset Management,$10 to $25 million (USD),-1
DATA SCIENTIST,"solicon IT ist ein junges innovatives österreichisches Unternehmen mit Sitz in Graz bzw. Wien und dem Fokus auf

umfassende Lösungen im Bereich Data Management, Business Intelligence und Business Analytics.

DATA SCIENTIST
(Standort Wien oder Graz)

IHRE AUFGABE
• Sie verstärken unser Entwicklungs- und Consultingteam im Bereich Business Intelligence und Business

Analytics.
• Gemeinsam mit unseren Kunden und Ihren Kollegen erarbeiten Sie für unsere Kunden

maßgeschneiderte Lösungskonzepte, die Sie mit Ihren Kollegen dann auch entsprechend
implementieren.

• Die Durchführung von Schulungen bzw. die Betreuung unser Kunden in Consulting Projekten zählen
ebenso zu Ihren Aufgaben.

IHR PROFIL
• abgeschlossenes Studium TU/FH Fachrichtung Informatik / Telematik oder vergleichbare Qualifikation
• Kenntnisse in den Bereichen Statistik, Datenmodellierung, Datenanalyse, Datenvisualisierung und/oder

Business Intelligence Plattformen
• erste einschlägige Berufserfahrungen in den oben genannten Bereichen
• ausgezeichnete Teamfähigkeit
• strukturierte und gewissenhafte Arbeitsweise
• großes Interesse an neuen Technologien und hohe Lernbereitschaft
• Reisebereitschaft
• Gute Deutsch- und Englischkenntnisse in Wort und Schrift

UNSER ANGEBOT
• spannende Projekte mit herausfordernden Aufgaben und entsprechender Verantwortungsübernahme
• Integration in ein kollegiales Arbeitsumfeld
• Kontinuierliche Aus- und Weiterbildungsmöglichkeiten
• Außergewöhnliche Karrieremöglichkeiten durch individuelle Laufbahngestaltung

Das Bruttomonatsgehalt gemäß Kollektivvertrag beträgt für diese Funktion mindestens EUR 2.825€-. Je nach
Ausbildung und Erfahrung ist eine Überzahlung möglich.

Ihre aussagekräftige Bewerbung richten Sie an:

DI Bernhard Scherdoner
recruiting@solicon-it.com",5.0,"Solicon IT
5.0",Wien,-1,1 to 50 Employees,-1,-1,-1,Less than $1 million (USD),-1
Data Scientist (m/w/d),"Möchten Sie die digitale Welt von morgen intelligenter machen? Können Sie über die Grenzen von Nullen und Einsen hinausschauen? Dann kommen Sie jetzt zu FERCHAU, dem Marktführer in Engineering und IT mit 8.260 Mitarbeitern an über 100 Niederlassungen und Standorten in Österreich und Deutschland. Hier erwarten Sie anspruchsvolle Aufgaben aus allen Bereichen der IT. 2.500 IT-Consultants arbeiten hier an spannenden Projekten für namhafte Kunden.

Abwechslungsreich und komplex - Ihr Verantwortungsbereich ist vielfältig.
Konzipierung und eigenständige Durchführung von IoT-Datenanalysen in einem Scrum-Team für ein internationales Projekt
Aufbau und Integration eines Frameworks zur Erkennung von Anomalien basierend auf maschinennahen Zeitreihendaten
Kontinuierliches Modifizieren der errechneten Modelle unter Berücksichtigung von domänenspezifischem Wissen
Kommunikation und Abstimmung mit internationalen Teams
Individuell und erfolgsorientiert - Ihre Perspektiven sind ausgezeichnet.
Ein zukunftsorientierter Arbeitsplatz mit Perspektive
Unbefristeter Dienstvertrag
Ein umfangreiches Aus- und Weiterbildungsangebot
Sie sind bestens qualifiziert - Ihr Profil ist der beste Beweis.
Abgeschlossene technische Ausbildung mit Spezialisierung im Bereich Data Science
Einschlägige Erfahrung in der Datenverarbeitung und -modellierung sowie mit Datenkompressions- und Datenvorverarbeitungstechniken
Sehr gute Kenntnisse der Programmiersprachen Python und Perl
Versierter Umgang mit supervised und unsupervised Methodiken sowie folgenden Machine-Learning-Bibliotheken: numpy und TensorFlow
Erfahrung mit Angular und Typescript wünschenswert
Verhandlungssicheres Englisch in Wort und Schrift
Für diese Position beträgt das Jahresbruttogehalt mindestens EUR 44.800. Wir bieten eine marktkonforme Überzahlung abhängig von Ausbildung, beruflicher Qualifikation und Erfahrung.

Das ist die abwechslungsreiche Herausforderung, die Sie suchen? Dann freuen wir uns auf Ihre Bewerbung - gerne online oder per E-Mail unter der Kennziffer ID41-12643-LZ bei Frau Julia Augustin. Denn was für unsere Kunden gilt, gilt für Sie schon lange: Wir entwickeln Sie weiter.",3.3,"FERCHAU
3.3",Linz,-1,5001 to 10000 Employees,1966,Business Services,Staffing & Outsourcing,$500 million to $1 billion (USD),-1
Data Scientist (f/m/d),"Willkommen bei Vorwerk Data Scientist (F/M/D) Wir sind ein Unternehmen der Vorwerk-Gruppe. Weltweit produzieren und verkaufen unsere Mitarbeiter und selbstständigen Fachberater qualitativ hochwertige Haushaltsgeräte im Premiumbereich. Mit unseren erfolgreichen Marken Kobold und Thermomix begeistern wir seit über 55 Jahren Kunden in ganz Österreich. Sie beherrschen die Kunst mit Daten Dinge zu sehen, die anderen verborgen bleiben? Dann bewerben Sie sich als Data Scientist, werden Teil unseres Teams und sichern mit uns gemeinsam den langfristigen Erfolg unseres Unternehmens in unserer Zentrale in Wien. Mehr unter vorwerk.at ihr Aufgabengebiet: Sie sind maßgeblich dafür verantwortlich eine strukturierte Datenbasis zu schaffen, zu analysieren und am Ende mit Ihrem betriebswirtschaftlichen Knowhow eine Entscheidungsgrundlage für die Geschäftsführung zu schaffen. Sie identifizieren und untersuchen strukturierte und unstrukturierte Datenquellen. Dazu kann auch die Implementierung eines Trackings und das Monitoring von Daten gehören. Sie entwickeln neue analytische Methoden, um die Datenbasis optimal zu analysieren. Auf Grundlage der Analyse von Mustern in der Vergangenheit erstellen Sie Prognosen für die Zukunft. Ihr tiefes Verständnis für unternehmens-relevanten Prozesse ermöglicht es Ihnen Empfehlungen auszusprechen und Handlungsimplikationen zu geben. IHR Profil: Studium eines MINT-Fachs (Mathematik, Informatik, Naturwissenschaften, Technologie) oder eine IT-Ausbildung +3 Jahre Praxis im Data Management (SQL/NoSQL) und entsprechender Programmierung Erfahrungen und Umgang mit R und Python, SAS, und Hadoop, sowie andere objektorientierte Programmiersprachen wünschenswert Strukturiertes und analytisches Denkvermögen Hohe Abstraktionsfähigkeit und Kommunikationstalent, um Ergebnisse Kollegen und Vorgesetzten schnell und verständlich vermitteln zu können Als Data Scientist bist Du eine Mischung aus 4 Typen: Dem Kommunikationstalent, dem Statistiker, dem Programmierer und dem Business-Experten wir bieten: Eine spannende, vielseitige und herausfordernde Tätigkeit in einem modernen Umfeld Ein motiviertes und offenes Team Interne und externe Weiterbildungsmöglichkeiten Leistungsgerechte Entlohnung (ab 40.000,00 EUR Brutto p.a. Überzahlung nach Ausbildung und Erfahrung) Bewerben Sie sich jetzt mit mit Ihren vollständigen Bewerbungsunterlagen bei: Kontakt: Vorwerk Austria GmbH & Co. KG Michelle Da Costa Schäfferhofstraße 15 6971 Hard +43 505800 140 Arbeitswelt Vorwerk",3.7,"Vorwerk Austria GmbH & Co. KG
3.7",Wien,-1,1001 to 5000 Employees,1827,Manufacturing,Transportation Equipment Manufacturing,$100 to $500 million (USD),-1
Data Scientist (m/f/d),"Be part of our team!

AT&S is one of the globally leading manufacturers of high-end printed circuit boards and IC substrates and belongs to the global technology leaders. With more than 10.000 employees worldwide, plants in Austria, China, India, Korea, and Sales Support Offices around the globe. To facilitate our continuous global policy of expansion, we are constantly looking for young talents and experienced professionals with high commitment and ideas that make a difference. Engagement and flexibility are essential factors for our consequent policy of growth. To enhance our successful Business Process Excellence Team at our Headquarters in Leoben (AT) we are seeking to fill the newly created position:

Data Scientist (m/f/d)

As Data Scientist you are primarily responsible for the development and implementation of Data Science use cases within the whole company. In addition to the ongoing analyses of AT&S’ data sets, you are responsible for the visualization and communication of the acquired data insights to internal stakeholders.

Your Responsibilities
Responsibility to develop and implement Data Science use cases within AT&S
Analysis of complex datasets, visualization of data and communication of data insights to AT&S stakeholders as a basis for data-driven decision-making
Apply Machine Learning and Deep Learning algorithms to structured and unstructured data
Support the development and implementation of Data Governance
Provide technical expertise in data architecture and data modelling to ensure usability and scalability of data storage / data lake
Your Profile
Young Professional with a BA, MA or PhD in Computer Science, Mathematics, Statistics or Physics
Expertise in Machine Learning models and Recommender Systems
General understanding of data structures, data modelling and business processes
Knowledge in methodologies and processes for managing large scale data amounts (Hadoop, NoSQL)
Solid mathematical background (linear algebra, probability, optimization)
Profound skills in Python and R (further programming skills such as Java, SQL etc. considered a plus)
Data visualization (with Microsoft Power BI, MicroStrategy and others)
Fluent in English, German is an advantage
Independent and proactive working style
Team player with a ""can-do"" attitude
Our Offer
Personal and professional growth opportunities in a multinational, dynamic growth company
Chance to actively contribute to AT&S' success and to create value
Attractive and competitive compensation package
If you are looking for a new challenging task please send us your application and your detailed resume. It´s just a click to apply online and we are looking forward to it. Your HR Team!

Our salary packages are competitive, take individual qualifications, and experience into consideration. In accordance with the Austrian collective labor agreement, we advise you that the minimum gross annual salary for this role is 40.000,- Euro.

(7907, 002, 10085, AMS, ST, SS, XI)",3.5,"AT & S Austria
3.5",Leoben,-1,5001 to 10000 Employees,1987,Manufacturing,Electrical & Electronic Manufacturing,$500 million to $1 billion (USD),-1
Senior Data Scientist (m/w/d),"Sie sind bereit für eine neue Herausforderung? Möchten Ihre Talente in einem innovativen Umfeld beweisen? Und von den Vorteilen eines zuverlässigen Arbeitgebers profitieren? Willkommen bei FERCHAU. Als Marktführer in Engineering und IT begleiten wir unsere namhaften Kunden mit Kompetenz und maßgeschneiderten Lösungen. 8.260 Mitarbeiter an über 100 Niederlassungen und Standorten in Österreich und Deutschland sind so in der ganzen Welt des Engineerings aktiv.

Langfristig und nachhaltig - Ihre Aufgaben bieten Potenzial.
In enger Zusammenarbeit mit unterschiedlichen Geschäftsfeldern analysieren Sie Datenquellen und potenzielle Ursachen für Fehler, um schließlich für eine nachhaltige und solide Datenqualität zu sorgen
Dabei identifizieren Sie Probleme, entwickeln Lösungen und vereinfachen komplexe Zusammenhänge
Sie erkennen Muster, entwickeln analytische Methoden und sprechen Empfehlungen anhand vorangegangener Analysen aus
Sie sorgen für die Erstellung von Prognosen, Reports sowie intelligente Benutzeroberflächen und arbeiten zeitweise mit externen Entwicklern an Workflows und Quellsystemen zusammen
Zielgerichtet und herausfordernd - Ihre Möglichkeiten sind erstklassig.
Ein zukunftsorientierter Arbeitsplatz mit Perspektive
Ein umfangreiches Aus- und Weiterbildungsangebot
Sehr gute Karrieremöglichkeiten
Professionell und weitblickend - Ihre Qualitäten begeistern.
Abgeschlossenes Studium im Bereich Informatik, Wirtschaftsinformatik, Mathematik, Physik oder in einer vergleichbaren Fachrichtung
Mehrjährige Berufserfahrung als Data Analyst, Data Engineer oder Erfahrung im Umgang mit Methoden zur Datenanalyse
Sicherer Umgang mit Datenbanksystemen und -sprachen
Wünschenswert Erfahrung im Umgang mit Datenanalyse-Tools, z. B. TensorFlow, pyTorch, SAS, SPSS
Idealerweise Erfahrung in der Programmierung (z. B. Python, Matlab, Ruby, Java, R, Julia)
Für diese Position beträgt das Jahresbruttogehalt mindestens 50.000 EUR. Wir bieten eine marktkonforme Überzahlung abhängig von Ausbildung, beruflicher Qualifikation und Erfahrung.

Sie sehen Ihre Zukunft in spannenden Projekten? Dann freuen wir uns auf Ihre Bewerbung - gerne online oder per E-Mail unter der Kennziffer ID86-56679-INN bei Frau Lara Martens. Denn was für unsere Kunden gilt, gilt für Sie schon lange: Wir entwickeln Sie weiter.",3.3,"FERCHAU
3.3",Innsbruck,-1,5001 to 10000 Employees,1966,Business Services,Staffing & Outsourcing,$500 million to $1 billion (USD),-1
Data Engineer (f/m/d),"International business requires an international corporate philosophy. Are you open to new ideas and do you value cultural diversity? At Raiffeisen Bank International, we are pleased to have more than 16 million customers in 13 CEE countries. And our journey continues – with exciting new issues for us to tackle such as digitalisation and changing customer needs. Join us on our journey.
Data Engineer (f/m/d)
We are looking for several talented persons to help us develop the highest value from the big data in our Enterprise Data Warehouse (EDWH). The right candidate is comfortable with technical and organisational challenges, can speak and act in the interests of our service and really wants to work for an Adaptive Organisation.

What you can expect:
Develop new ELT functionality and integrate it into our DWH platform
Enhance our tools, processes and documentation
Build your engineering craftmanship with design of technical solutions
Interpret structured data, and link it to unstructured data if need be
Find the knowledge needle in the data haystack

What you bring to the table:
Ideas & confidence!
SQL & NoSQL
Agile software design methods and practise
Quantitative or Mathematical Finance, or similar preferred
Read, comprehend and articulate information
English fluent, any CEE language a plus
Practical experience helpful, but not necessary

What we offer:
A growing and dynamic team in one of the leading banking groups in Austria and Central and Eastern Europe
EUR 46.500,- annual gross salary excluding overtime – additional payment according to skills and experience
Work-Life balance due to variable working hours
State of the art learning and development opportunities

RBI AG is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ethnicity, race or color, national origin, religion, political or other opinion, gender, sexual orientation or disability.
We are looking forward to receiving your online application!",4.1,"Raiffeisen Bank International
4.1",Österreich,-1,10000+ Employees,1991,Finance,Investment Banking & Asset Management,$10 to $25 million (USD),-1
Data Scientist (m/w),"Position
Full-time employee
City
Vienna
Start
As of now
Contract
Permanent
UNTERNEHMEN

Als international agierendes Unternehmen konnten wir unsere Softwarelösung für Dokumentation und Kommunikation in der Bau- und Immobilienbranche innerhalb weniger Jahre bei Unternehmen aus über 40 Ländern etablieren.

AUFGABENbereich
Pionierarbeit und Aufbau eines Data Science Bereiches
Eigenständige Entwicklung und Umsetzung von Ideen
Implementieren von statistischen und mathematischen Methoden/Algorithmen mit z.B.: Python, R
Vorbereiten von statistischen Analysen und Visualisierungen
Dokumentieren der Modelle und Ergebnisse
Definition von Campaign-Targeting-Kriterien sowie Erfolgsmessung
Analyse von umfangreichen Datensätzen und Verarbeitung bzw. Visualisierung der gewonnenen Erkenntnisse (Data Storytelling)
profil
BSc/MSc/PhD in relevanter Studienrichtung, z.B.: Computer Vision, Machine Learning, Data Science, Software Engineering, Physics or Mathematics
Sehr gute Kenntnisse in Python und/oder R sowie SQL
Erfahrung bei der Anwendung von Methoden des Machine Learning
Erfahrung mit Big-Data Infrastrukturen und Analyseinstrumenten (Hadoop, Spark, Hive) von Vorteil
Kenntnisse über ETL-Prozesse und DWH-Implementierungen oder Data Lake Implementierungen
Methodisches, genaues und effizientes Arbeiten
Fundierte analytische Fähigkeiten, aber gleichzeitig praktische, problemlösende Einstellung erforderlich
Fähigkeit, mit einem nicht-technischen Publikum zu kommunizieren
Teamplayer, hoher Einsatz, unabhängiger Arbeitsstil
Ausgezeichnete Deutsch- und Englischkenntnisse
WAS WIR BIETEN
Platz für persönliche und professionelle Weiterentwicklung
Vielseitiges Tätigkeitsfeld
Mitgestaltung bei einem Wachstumsunternehmen mit internationalen Kunden und Investoren
Motiviertes und agiles Team mit einer gemeinsamen Vision
Attraktives Gehalt
Zusätzliche Benefits wie Teamevents, Free Drinks & Snacks
BENEFITS

RAUM ZUR
MITGESTALTUNG

FIRMENEVENTS

OBSTKORB

VIELZAHL
AN SNACKS

VIELZAHL AN
GETRÄNKEN

TRAININGS-
ANGEBOTE

FLEXIBLE
ARBEITSZEITEN

MITARBEITER-
EMPFEHLUNGS-
PROGRAMM

FIRMENLAPTOP

GESUNDHEITS-
FÖRDERUNG

RAUM ZUR
MITGESTALTUNG

FIRMENEVENTS

OBSTKORB

VIELZAHL
AN SNACKS

VIELZAHL AN
GETRÄNKEN

TRAININGS-
ANGEBOTE

FLEXIBLE
ARBEITSZEITEN

MITARBEITER-
EMPFEHLUNGS-
PROGRAMM

FIRMENLAPTOP

GESUNDHEITS-
FÖRDERUNG

der bewerbung beizulegen

Bitte lassen Sie uns Ihre aussagekräftigen Bewerbungsunterlagen (inkl. Lebenslauf mit Foto) zukommen, indem Sie auf den ""Apply Now"" Button klicken.

Aus gesetzlichen Gründen weisen wir darauf hin, dass das kollektivvertragliche Bruttojahresgehalt für diese Position auf Basis einer Vollzeitbeschäftigung mindestens € 36.400, -beträgt. Je nach konkreter Qualifikation und Erfahrung ist die Bereitschaft zur deutlichen Überzahlung gegeben.",5.0,"PlanRadar GmbH
5.0",Wien,-1,51 to 200 Employees,2013,Information Technology,Enterprise Software & Network Solutions,Unknown / Non-Applicable,-1
